locality	type_core	lat_N	lon_E	top_age_kaBP	bottom_age_kaBP	DMAR_g/m2a	sigma_g/m2a	DMAR10_g/m2a	sigma10_g/m2a
ME0005-24JC_Pacific-Ocean	marine	0.02	-86.45	0.00	4.00	5.80E-01	3.19E-01	2.90E-01	2.36E-01
Y69-71_Pacific-Ocean	marine	0.09	-86.48	2.87	6.37	5.70E-01	2.73E-01	2.85E-01	2.19E-01
TT013-PC72_Pacific-Ocean	marine	0.11	-139.40	5.00	11.47	1.42E-01	6.35E-02	1.42E-01	1.07E-01
ODP138-849A-1H_Pacific-Ocean	marine	0.18	-110.52	0.00	10.00	1.18E-01	5.24E-02	1.18E-01	8.79E-02
RNDB-74P_Pacific-Ocean	marine	0.21	159.23	0.00	4.00	4.70E-01	2.07E-01	4.70E-01	3.50E-01
MC1208-17PC_Pacific-Ocean	marine	0.48	-156.45	4.97	11.66	1.04E-01	4.57E-02	1.04E-01	7.73E-02
TR163-22_Pacific-Ocean	marine	0.52	-92.40	4.00	10.60	3.26E-01	1.54E-01	1.63E-01	1.24E-01
RC24-01_Atlantic-Ocean	marine	0.55	-13.65	4.41	11.60	1.62E+00	7.23E-01	8.11E-01	6.06E-01
V28-203_Pacific-Ocean	marine	0.95	-179.42	0.25	9.04	1.17E-01	5.24E-02	1.17E-01	8.78E-02
21MC-20BB_Pacific-Ocean	marine	1.27	-157.26	1.95	3.39	8.25E-02	3.63E-02	8.25E-02	6.14E-02
ODP138-850A-1H_Pacific-Ocean	marine	1.30	-110.52	0.00	10.00	1.27E-01	5.67E-02	1.27E-01	9.50E-02
RC17-177_Pacific-Ocean	marine	1.75	159.50	4.00	10.00	4.87E-01	2.14E-01	4.87E-01	3.62E-01
KNR-73-4PC_Pacific-Ocean	marine	1.84	-110.27	3.33	11.30	1.74E-01	7.78E-02	1.74E-01	1.30E-01
RC13-189_Atlantic-Ocean	marine	1.87	-30.00	2.79	11.22	2.46E+00	1.08E+00	1.23E+00	9.14E-01
TR163-19P_Pacific-Ocean	marine	2.26	-90.95	0.00	4.00	1.60E-01	7.04E-02	8.00E-02	5.95E-02
EN066-29GGC_Atlantic-Ocean	marine	2.46	-19.76	1.64	11.45	3.48E+00	1.55E+00	1.74E+00	1.30E+00
26MC-25BB_Pacific-Ocean	marine	2.46	-159.39	3.88	4.98	9.81E-02	4.31E-02	9.81E-02	7.30E-02
P7_Pacific-Ocean	marine	2.60	-83.99	7.02	9.87	1.30E+00	7.02E-01	1.30E+00	1.05E+00
ODP138-851E-1H_Pacific-Ocean	marine	2.77	-110.57	0.00	10.00	1.61E-01	7.17E-02	1.61E-01	1.20E-01
RC13-140_Pacific-Ocean	marine	2.87	-87.75	1.46	10.01	3.96E-01	1.74E-01	1.98E-01	1.47E-01
29MC-28BB_Pacific-Ocean	marine	2.97	-159.20	4.30	5.02	9.04E-02	3.98E-02	9.04E-02	6.73E-02
Y69-106P_Pacific-Ocean	marine	2.98	-86.55	4.46	7.86	6.30E-01	2.81E-01	6.30E-01	4.71E-01
GeoB1523_Atlantic-Ocean	marine	3.83	-41.62	0.00	4.00	3.48E+00	1.53E+00	3.48E+00	2.59E+00
EN066-21GGC_Atlantic-Ocean	marine	4.23	-20.63	0.93	11.01	3.31E+00	1.41E+00	1.66E+00	1.22E+00
GeoB1515_Atlantic-Ocean	marine	4.24	-43.67	0.60	0.60	4.23E+00	1.86E+00	4.23E+00	3.15E+00
KNR110-82GGC_Atlantic-Ocean	marine	4.34	-43.49	0.28	11.28	4.60E+00	1.95E+00	2.30E+00	1.69E+00
KNR110-58GGC_Atlantic-Ocean	marine	4.54	-42.82	0.79	10.78	7.33E+00	3.11E+00	3.66E+00	2.69E+00
MC1208-31BB_Pacific-Ocean	marine	4.68	-160.05	7.14	11.60	8.71E-02	3.83E-02	8.71E-02	6.48E-02
KNR110-55GGC_Atlantic-Ocean	marine	4.80	-42.67	0.20	11.50	8.80E+00	3.73E+00	4.40E+00	3.23E+00
EN066-38GGC_Atlantic-Ocean	marine	4.92	-20.50	2.34	10.93	2.40E+00	1.02E+00	1.20E+00	8.84E-01
33MC-32BB_Pacific-Ocean	marine	5.20	-160.43	5.27	5.61	7.82E-02	3.44E-02	7.82E-02	5.82E-02
ODP138-852A-1H_Pacific-Ocean	marine	5.29	-110.08	0.00	12.00	2.97E-01	1.32E-01	2.97E-01	2.22E-01
VM20-234_Atlantic-Ocean	marine	5.33	-33.03	0.97	11.07	2.07E+00	9.13E-01	1.04E+00	7.72E-01
1MC_Pacific-Ocean	marine	5.82	-85.74	4.90	11.24	4.50E-01	1.98E-01	4.50E-01	3.35E-01
7MC_Pacific-Ocean	marine	6.23	-86.44	1.33	8.61	6.61E-01	2.91E-01	6.61E-01	4.92E-01
39MC-36BB_Pacific-Ocean	marine	6.83	-161.04	4.96	6.23	6.71E-02	2.95E-02	6.71E-02	4.99E-02
ML1208-37BB_Pacific-Ocean	marine	7.04	-161.63	6.49	11.67	1.04E-01	4.58E-02	1.04E-01	7.74E-02
ODP138-853B-1H_Pacific-Ocean	marine	7.21	-109.76	0.00	12.00	3.61E-01	1.61E-01	3.61E-01	2.70E-01
KL15_Gulf-of-Aden	marine	12.86	47.43	0.90	11.30	5.04E+00	2.25E+00	2.52E+00	1.89E+00
Jikariya-Lake_Nigeria	lake	13.31	11.08	0.13	10.02	3.82E+01	9.56E+00	9.09E+00	5.08E+00
Kajemarum-Oasis_Nigeria	lake	13.31	11.03	0.14	10.03	3.41E+01	8.54E+00	8.12E+00	5.28E+00
74KL_Arabian-Sea	marine	14.32	57.38	0.30	11.20	2.36E+00	1.04E+00	1.41E+00	1.05E+00
RC27-42_Arabian-Sea	marine	16.50	59.80	5.00	11.60	2.50E+00	1.12E+00	1.50E+00	1.12E+00
MD03-2705_Atlantic-Ocean	marine	18.08	-21.15	4.78	11.69	4.56E+00	2.01E+00	3.45E+00	2.30E+00
KL11_Red-Sea	marine	18.74	39.34	3.70	10.20	4.29E+00	1.89E+00	2.14E+00	1.60E+00
OC437-07-GC68_Atlantic-Ocean	marine	19.36	-17.28	1.92	11.95	9.47E+00	2.94E+00	2.51E+00	9.28E-01
OC437-07-GC66_Atlantic-Ocean	marine	19.94	-17.86	0.36	11.71	7.90E+00	3.47E+00	2.14E+00	1.03E+00
OC437-07-GC49_Atlantic-Ocean	marine	23.21	-17.85	0.55	11.71	2.75E+00	1.21E+00	7.65E-01	3.69E-01
KL23_Red-Sea	marine	25.75	35.06	1.50	12.00	3.36E+00	1.51E+00	1.68E+00	1.26E+00
OC437-07-GC37_Atlantic-Ocean	marine	26.82	-15.12	1.53	11.23	1.89E+00	6.12E-01	4.31E-01	1.64E-01
Yuexi_China	peat	28.78	102.95	1.00	8.80	4.85E+00	3.07E+00	2.18E+00	1.91E+00
12JPC_Atlantic-Ocean	marine	29.75	-72.90	2.50	3.80	9.73E+00	4.28E+00	9.73E+00	7.24E+00
Mt.-Harif_Israel	loess	30.50	34.55	0.00	13.70	1.10E+01	3.67E+00	3.13E+00	1.40E+00
OC437-07-GC27_Atlantic-Ocean	marine	30.88	-10.63	0.53	11.27	6.64E+00	2.13E+00	1.62E+00	6.15E-01
Ramat-Beka_Israel	loess	31.14	34.95	0.00	14.20	1.26E+01	4.86E+00	3.57E+00	1.98E+00
Hura-Village_Israel	loess	31.31	34.95	0.00	10.70	2.79E+01	9.15E+00	7.89E+00	4.08E+00
Ganzi_China	loess	31.63	99.98	0.00	11.70	2.39E+02	2.10E+02	5.97E+01	6.35E+01
